17:15:57: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized
17:15:57: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 4.0)
17:15:57: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE ALTITUDE: 1
17:15:58: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 1.0)
17:15:58: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE ALTITUDE: -1
17:15:58: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.6666666666666666)
17:15:59: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.5)
17:15:59: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.4)
17:16:00: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.3333333333333333)
17:16:00: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 0.0, 0.2857142857142857)
17:16:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 2.5, 0.25)
17:16:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: 63.434948822922024
17:16:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
17:16:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: 90.0
17:16:02: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command.py | run | 119] Average velocity: (0.0, 6.0, 0.2)
17:16:02: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 80] CHANGE YAW: 116.56505117707798
