20:03:46: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
20:03:46: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 135] Connected!
20:03:46: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE ALTITUDE: 1
20:03:46: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE ALTITUDE: -1
20:03:49: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 63.434948822922024
20:03:50: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 90.0
20:03:51: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 116.56505117707798
20:03:51: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 45.0
20:03:52: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 63.434948822922024
20:03:52: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 90.0
20:03:53: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 26.565051177077976
20:03:53: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 45.0
20:03:54: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 90.0
20:03:54: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 45.0
20:03:55: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 90.0
20:03:55: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: 135.0
20:03:56: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -26.565051177078004
20:03:56: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -45.0
20:03:57: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -90.0
20:03:57: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -45.0
20:03:58: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -90.0
20:03:58: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -135.0
20:03:59: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -63.43494882292201
20:03:59: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -90.0
20:04:00: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -116.56505117707798
20:04:00: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -45.0
20:04:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -63.43494882292201
20:04:01: [INFO] [/Users/User/Documents/WARG_Bootcamp/ishir-autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 82] CHANGE YAW: -90.0
